baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup10000_c0_g1	4.08118932229231	0.695780667643552	1.78289587331092	0.390253114642896	0.696349389186331	0.753263805119952
isogroup10001_c0_g1	2.53835380876652	3.97832473321632	2.05419214948487	1.93668578385619	0.0527837645733526	0.0974250558423575
isogroup10002_c1_g1	0.27189802502312	1.04343669716396	3.74675789072575	0.278490558396302	0.780635811800523	NA
isogroup10003_c1_g1	1.84372466356951	3.4974969983779	2.55557997582821	1.36857270422321	0.171132881164224	0.235104014046105
isogroup10005_c3_g1	0.592216985788082	1.95052170039885	3.26985059022826	0.596517072134081	0.550829852366122	NA
isogroup10006_c1_g1	33.5008662144538	0.537361457568351	1.22069860661073	0.440208135454773	0.659786368007824	0.721965564087434
isogroup10009_c11_g1	8.32257479410784	2.27239004746591	1.33608048540318	1.70078829254076	0.0889827484681229	0.141163786560503
isogroup10009_c8_g1	3.1912606618474	4.30767199571781	1.87522728892041	2.29714660253147	0.0216104080419147	0.0523090534092769
isogroup1000_c10_g1	0.160159480382481	0.478639192255117	3.76437416820579	0.127149738805919	0.898821885021332	NA
isogroup1000_c5_g1	0.45457296073827	1.62199856625245	3.40162744619073	0.476830162006371	0.633483065883126	NA
isogroup1000_c6_g1	0.360358830860582	1.36920064922273	3.73921255001212	0.366173527423118	0.714235594522478	NA
isogroup10010_c1_g1	3.64320588097967	4.4939767883319	1.80678789363043	2.48727413116657	0.0128726165586053	0.0368087251864984
isogroup10010_c2_g1	4.47379662920599	4.78290232341451	1.76949297602331	2.70297898224124	0.00687210916270272	0.0244129050185197
isogroup10010_c3_g1	4.9071694641395	4.90125300263256	1.63323898757021	3.00094048693034	0.00269147162253477	0.0136344731874452
isogroup10012_c0_g1	3.11630373082415	4.27491441835485	1.79858640012625	2.3768190497019	0.0174626522491519	0.0451259365171492
isogroup10012_c1_g1	0.424149099552123	1.54715682703247	2.75739187150471	0.561094287330364	0.574733262327674	NA
isogroup10012_c2_g1	1.66165415624537	3.38364158300283	2.03478594803215	1.66289804894474	0.0963328450199363	0.149936026704086
isogroup10014_c3_g1	1.1012576092873	1.42465560500621	2.57474343644259	0.553319443344068	0.580044689432316	NA
isogroup10014_c5_g1	8.29865223133635	2.22067240326994	1.30732920707649	1.69863290076408	0.0893883733279014	0.141691894414344
isogroup10015_c0_g1	2.87039551018732	4.05936136518759	1.64747273738554	2.46399304405462	0.0137398777893832	0.0384509532813824
isogroup10015_c1_g1	10.4839952372085	0.499905125664773	1.41608266401647	0.353019734205968	0.724073646055266	0.777616341998571
isogroup10016_c0_g1	0.494140171041146	1.73369150232273	3.33299443422789	0.520160335258512	0.602951828478631	NA
isogroup10018_c3_g1	2.44023296828241	0.631741711233577	1.53275233554718	0.412161636673058	0.680220953864962	0.739943743246551
isogroup10018_c4_g1	7.95771812782603	0.68339631726879	1.06379338573192	0.642414519994966	0.520604074465149	0.595399982176239
isogroup10018_c5_g1	45.7689676647326	0.989783019652561	0.69064756431634	1.43312315975852	0.151822643933527	0.212607724622781
isogroup10019_c2_g1	3.84866071466977	4.56403036092289	1.93107530803484	2.36346575502924	0.0181048998337416	0.0462071983037466
isogroup1001_c0_g1	0.45457296073827	1.62199856625245	3.40162744619073	0.476830162006371	0.633483065883126	NA
isogroup10023_c1_g1	17.3137448723721	0.0220357169207446	1.10699722090166	0.0199058466495483	0.984118481118277	0.987796476821628
isogroup10023_c2_g1	0.173821210276184	0.532853024163122	3.76238750654437	0.141626300649858	0.887375191417285	NA
isogroup10024_c0_g1	2.86518837704221	4.15249794719654	1.95875037599231	2.11997301855928	0.034008320764975	0.0714764333727629
isogroup10025_c7_g1	0.387682290647988	1.43670194451782	3.54747952448617	0.404992314853717	0.685483159993799	NA
isogroup10025_c9_g1	39.4972270702014	3.79626543200199	1.27900980096874	2.96812849215593	0.00299619051509375	0.0145411447934366
isogroup10026_c0_g1	3.24638417892742	4.31383434154764	1.66594078443483	2.58942837695825	0.00961354191611873	0.0304030255872583
isogroup10027_c0_g1	0.120119610286861	0.179229637136053	3.77669056739155	0.0474567968801961	0.962149162609023	NA
isogroup10027_c1_g1	0.133781340180564	0.240176497064644	3.77398795205896	0.0636399745085599	0.949256901183053	NA
isogroup10029_c3_g1	81.1770926445103	1.80096452764304	0.711501833169477	2.531215583269	0.0113667961035341	0.0337868482171623
isogroup10030_c1_g1	9.26993863445319	2.48798981914367	1.51371966106359	1.64362654667214	0.100253366965054	0.154141538410159
isogroup10031_c0_g1	17.9715362461899	6.74125462160932	1.81632984501023	3.71147049096215	0.000206058693033782	0.00319339032647
isogroup10032_c0_g1	10.3435830904808	4.98600363191849	1.46665878996162	3.39956618815816	0.000674928422683894	0.00615581268275483
isogroup10034_c7_g1	16.1885878332861	0.0178927075076	0.734071168530634	0.0243746223454263	0.980553790745066	0.984916683868917
isogroup10034_c9_g1	4.39156180720149	4.75312927267342	1.77064113062899	2.68441142050335	0.00726576339287122	0.0253105139327305
isogroup10038_c0_g1	0	NA	NA	NA	NA	NA
isogroup1003_c2_g1	88.0536781145874	4.29517483177107	1.31216522587622	3.27334907759265	0.00106281131275872	0.007864983928287
isogroup10041_c3_g1	62.4889687051511	2.70118667269824	1.08622069593404	2.48677518556714	0.0128906830685683	0.0368422813241644
isogroup10043_c0_g1	5.30505094876495	5.00308809673501	1.55463532152426	3.21817472397943	0.00129009204382388	0.00875287089352252
isogroup10045_c0_g1	11.3640653776502	3.32799070693627	1.26591458755244	2.62892199810313	0.00856560056527067	0.0281824535461286
isogroup10046_c1_g1	0.794413404588595	1.08940699278124	2.08894105207096	0.521511601153711	0.602010426085333	NA
isogroup10049_c0_g1	6.75184030914578	4.36402646497558	1.75460342698634	2.48718678982128	0.0128757775158842	0.0368117340476237
isogroup10049_c2_g1	2.72630940872915	4.08024102689362	1.97982106648904	2.06091403711014	0.0393112418744348	0.079288852696885
isogroup10049_c4_g1	8.50408037244264	5.67949432457561	1.81712289378858	3.12554222061131	0.00177477591234056	0.0106688233821381
isogroup1004_c0_g1	21.1966161507561	-1.68567626165784	1.26051158721194	-1.33729533211694	0.181126254085512	0.246485891609821
isogroup10062_c0_g1	0.307129890664003	1.1828007231963	3.74332907711956	0.315975619249177	0.75202101382651	NA
isogroup10062_c2_g1	0.160159480382481	0.478639192255117	3.76437416820579	0.127149738805919	0.898821885021332	NA
isogroup10062_c3_g1	0.53465270092951	1.81866780392654	3.23610808984441	0.561992292418756	0.57412127050193	NA
isogroup10062_c4_g1	0.160159480382481	0.478639192255117	3.76437416820579	0.127149738805919	0.898821885021332	NA
isogroup10065_c1_g1	9.25231960367619	2.70589864229458	1.22313374075112	2.21226718889538	0.0269482087956818	0.0607113450021097
isogroup10066_c1_g1	48.7592083391139	-1.38259112287949	0.544464215895305	-2.53936086617922	0.0111055207841201	0.0332195127361865
isogroup10066_c3_g1	28.7527327500503	3.29672319660014	1.16184343413139	2.83749350364476	0.00454692720817488	0.0188944794746748
isogroup10067_c2_g1	3.65807737310114	4.49476370346415	1.91241189313134	2.35031152002749	0.0187577048585497	0.0474213416325162
isogroup10068_c1_g1	8.04903165805978	2.79836262854673	1.3796356154605	2.02833458138343	0.0425261118343556	0.0835541175343101
isogroup10070_c0_g1	0.160159480382481	0.478639192255117	3.76437416820579	0.127149738805919	0.898821885021332	NA
isogroup10070_c1_g1	0.293940820563045	1.12627193627632	3.7446817786435	0.300765726663243	0.763593145121931	NA
isogroup10070_c2_g1	0.748513781301315	2.22763907707914	2.97699504552076	0.748284442203183	0.454288606587785	NA
isogroup10073_c0_g1	0.106930540185902	0.0269918405923606	3.78391815206263	0.00713330455566202	0.994308494695365	NA
isogroup10077_c1_g1	0.200199350478101	0.717518631827975	3.75612294562834	0.191026396689991	0.848504912387741	NA
isogroup10079_c4_g1	17.738262534267	-2.6328653974716	0.817276828083149	-3.22150990582561	0.00127517054262965	0.00869896528436336
